지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
146,2018-01-02 08:00,-2.4,,1.9,140,80,4.1,-5.3,1021.9,1029.8,0,0,,,0,0,,,1009,,,-3.8,,,,
146,2018-01-02 09:00,-1.1,,1.6,140,77,4.3,-4.6,1022,1029.9,0,.25,,,0,0,,,1062,,,-1.9,,,,
146,2018-01-02 10:00,1.3,,1.2,110,66,4.4,-4.3,1021.7,1029.5,1,.74,,,0,0,,,1192,,,-.3,,,,
146,2018-01-02 11:00,3.6,,.8,70,60,4.8,-3.4,1022.3,1030,1,1.19,,,0,0,,,1230,,,.1,,,,
146,2018-01-02 12:00,5.3,,.7,70,56,5,-2.7,1021.6,1029.3,.6,1.26,,,4,4,Sc,13,1239,,,.8,,,,
146,2018-01-02 13:00,5.9,,1.8,290,59,5.5,-1.5,1020.8,1028.5,.6,1.28,,,9,9,Sc,11,1332,,,5.6,,,,
146,2018-01-02 14:00,5.2,,2.5,250,69,6.1,0,1020.2,1027.9,.1,.76,,,8,8,Sc,10,1085,,,5.5,,,,
146,2018-01-02 15:00,4.1,0,1.9,340,75,6.1,0,1020,1027.7,0,.24,,,10,7,StNs,7,917,,1901,4.2,,,,
146,2018-01-02 16:00,4.1,,1.2,340,86,7,1.9,1020.4,1028.1,0,.19,,,8,8,Sc,10,710,,1901,4.2,,,,
146,2018-01-02 17:00,3.6,,2.1,340,84,6.6,1.1,1020.8,1028.5,0,.07,,,9,9,Sc,10,545,,19,3.3,,,,
146,2018-01-02 18:00,3.1,0,2.6,360,84,6.4,.6,1021.5,1029.2,0,0,,,9,9,Sc,10,690,,19,2.5,,,,
146,2018-01-02 19:00,2.2,,2.3,340,79,5.7,-1,1021.4,1029.2,,,,,,4,,6,730,,19,1.2,,,,
146,2018-01-02 20:00,1.7,,1.6,320,77,5.3,-1.9,1020.8,1028.6,,,,,,6,,57,718,,19,.8,,,,
146,2018-01-02 21:00,.8,,2.3,340,84,5.4,-1.6,1021,1028.8,,,,,2,2,Sc,5,625,,19,.8,,,,
146,2018-01-02 22:00,-.3,,1.5,320,77,4.6,-3.8,1021.2,1029,,,,,,,,65,841,,19,.7,,,,
146,2018-01-02 23:00,-.4,,1.1,340,59,3.5,-7.4,1021.5,1029.3,,,,,,0,,,1483,,19,.2,,,,
146,2018-01-03 00:00,-.9,,1,320,59,3.4,-7.9,1022.1,1030,,,,,0,0,,,1536,,,-.6,,,,
146,2018-01-03 01:00,-1.1,,.6,320,60,3.4,-7.8,1021.9,1029.8,,,,,,8,,45,1426,,,-1,,,,
146,2018-01-03 02:00,-1.3,,.7,320,61,3.4,-7.8,1023,1030.9,,,,,,1,,,1331,,,-2.1,,,,
146,2018-01-03 03:00,-2.4,,1.3,360,73,3.8,-6.5,1022.8,1030.7,,,,,5,5,Ac,49,641,,19,-2.8,,,,
146,2018-01-03 04:00,-3.1,,1.6,320,76,3.7,-6.7,1022.8,1030.7,,,,,2,0,Ci,,1160,,19,-3.2,,,,
146,2018-01-03 05:00,-3.3,,1.2,320,69,3.3,-8.1,1022.8,1030.8,,,,,0,0,,,1670,,,-3.9,,,,
146,2018-01-03 06:00,-3.9,,1.7,320,68,3.1,-8.9,1023.5,1031.5,,,,,0,0,,,1800,,,-4.5,,,,
146,2018-01-03 07:00,-3.9,,.6,320,56,2.6,-11.4,1023.5,1031.5,,,,,0,0,,,1630,,,-5.1,,,,
146,2018-01-03 08:00,-3.9,,.8,340,52,2.4,-12.3,1023.7,1031.7,0,0,,,1,0,Ci,,1803,,,-5.3,,,,
146,2018-01-03 09:00,-2.6,,.7,360,47,2.4,-12.3,1024.5,1032.4,.8,.35,,,0,0,,,1974,,,-3,,,,
146,2018-01-03 10:00,-2.1,,1.3,320,48,2.5,-11.6,1025.1,1033,1,.96,,,0,0,,,1993,,,-.5,,,,
146,2018-01-03 11:00,-.8,,1.2,340,50,2.9,-9.9,1025,1032.9,1,1.5,,,0,0,,,2000,,,.1,,,,
146,2018-01-03 12:00,-.4,,2,320,46,2.7,-10.6,1024.1,1032,1,1.85,,,3,0,Ci,,2000,,,1.2,,,,
146,2018-01-03 13:00,.2,,1.3,360,46,2.9,-10,1022.9,1030.8,1,2,,,1,0,Ci,,2000,,,4.1,,,,
146,2018-01-03 14:00,.7,,2,340,44,2.8,-10.1,1022.5,1030.3,1,1.88,,,1,0,Ci,,2000,,,7.8,,,,
146,2018-01-03 15:00,1.1,,1.6,290,44,2.9,-9.8,1022.2,1030,1,1.37,,,3,0,Ci,,2000,,,6.4,,,,
146,2018-01-03 16:00,1.2,,1.7,270,47,3.1,-8.8,1022.1,1029.9,.5,.64,,,6,0,Ci,,2000,,,3.9,,,,
146,2018-01-03 17:00,.9,,2.6,270,54,3.5,-7.3,1021.8,1029.6,.9,.4,,,4,0,Ci,,2000,,,1.8,,,,
146,2018-01-03 18:00,-.4,,3.7,270,57,3.4,-7.8,1022.2,1030.1,.1,.04,,,5,0,Ci,,2000,,,.9,,,,
146,2018-01-03 19:00,-1.3,,2.7,290,60,3.3,-8,1022.2,1030.1,,,,,,0,,,1914,,,.4,,,,
146,2018-01-03 20:00,-2,,1.4,290,64,3.4,-7.9,1022.7,1030.6,,,,,,0,,,1974,,,-.6,,,,
146,2018-01-03 21:00,-2.6,,1.3,320,66,3.3,-8,1022.9,1030.8,,,,,0,0,,,1924,,,-1.7,,,,
146,2018-01-03 22:00,-2.6,,1.6,320,64,3.2,-8.4,1023,1030.9,,,,,,1,,76,1875,,,-2.5,,,,
146,2018-01-03 23:00,-3,,1.7,340,65,3.2,-8.6,1023.5,1031.4,,,,,,9,,71,1348,,,-3,,,,
146,2018-01-04 00:00,-2.8,,.7,70,62,3.1,-9,1023.1,1031,,,,,8,0,Cs,,1922,,,-3.2,,,,
146,2018-01-04 01:00,-3,,.6,140,68,3.3,-8,1022.3,1030.2,,,,,,9,,68,1751,,,-3.1,,,,
146,2018-01-04 02:00,-2.9,,.4,0,66,3.3,-8.3,1022.3,1030.2,,,,,8,0,Cs,,1793,,,-2.8,,,,
146,2018-01-04 03:00,-3.7,,1.1,340,74,3.5,-7.6,1022.9,1030.9,,,,,8,0,Cs,,1303,,,-3.1,,,,
146,2018-01-04 04:00,-4.2,,1.4,340,77,3.5,-7.6,1023,1031,,,,,9,0,Cs,,1300,,,-2.9,,,,
146,2018-01-04 05:00,-3.9,,1,20,76,3.5,-7.5,1022.2,1030.2,,,,,9,0,Cs,,1513,,,-2.9,,,,
146,2018-01-04 06:00,-3.8,,1.3,360,73,3.4,-7.9,1021.9,1029.9,,,,,8,0,Ci,,1569,,,-3.1,,,,
146,2018-01-04 07:00,-3.9,,2.1,340,75,3.5,-7.6,1022,1030,,,,,8,3,ScCi,10,1409,,,-3,,,,
146,2018-01-04 08:00,-4.2,,2.4,340,75,3.4,-7.9,1022,1030,0,0,,,7,1,ScCi,7,1485,,,-3.1,,,,
146,2018-01-04 09:00,-4,,2.3,320,63,2.9,-10,1021.7,1029.7,0,.18,,,10,6,ScAs,10,1725,,,-1.9,,,,
146,2018-01-04 10:00,-3.5,,1.2,340,60,2.8,-10.1,1021.6,1029.5,0,.55,,,10,6,ScAs,10,1747,,,-.4,,,,
146,2018-01-04 11:00,-2.7,,1.4,340,55,2.8,-10.5,1021.1,1029,.5,1.01,,,7,0,Cs,,1817,,,-.1,,,,
146,2018-01-04 12:00,-1.9,,1.3,320,50,2.7,-10.9,1019.9,1027.8,1,1.58,,,5,0,Cs,,1948,,,.3,,,,
146,2018-01-04 13:00,-.7,,1.5,320,48,2.8,-10.3,1018.9,1026.7,1,1.5,,,7,0,Ci,,1974,,,1.1,,,,
146,2018-01-04 14:00,-.3,,1.2,290,48,2.9,-10,1017.5,1025.3,1,1.44,,,8,0,Cs,,1922,,,4.2,,,,
146,2018-01-04 15:00,.3,,1.7,290,49,3.1,-9.1,1017.5,1025.3,1,1.14,,,7,0,Cs,,1944,,,4.9,,,,
146,2018-01-04 16:00,-.4,,1.6,270,44,2.6,-11.1,1017.7,1025.5,.2,.58,,,10,10,As,28,1990,,,2.7,,,,
146,2018-01-04 17:00,-.7,,2.1,340,47,2.7,-10.6,1017.5,1025.3,0,.17,,,10,10,As,35,1997,,,.9,,,,
146,2018-01-04 18:00,-.9,,1.6,340,50,2.9,-10,1017.5,1025.3,0,.01,,,9,9,Ac,40,1913,,,.7,,,,
146,2018-01-04 19:00,-1,,1,340,49,2.8,-10.3,1017.2,1025,,,,,,10,,40,1899,,,.6,,,,
146,2018-01-04 20:00,-1,,1.2,250,50,2.8,-10.1,1017,1024.8,,,,,,10,,37,1844,,,.6,,,,
146,2018-01-04 21:00,-1.4,,.7,250,57,3.1,-8.8,1017,1024.8,,,,,10,10,As,30,1607,,,.6,,,,
146,2018-01-04 22:00,-1.3,,.6,230,60,3.3,-8,1016.6,1024.4,,,,,,10,,36,1445,,,.5,,,,
146,2018-01-04 23:00,-1.4,,.5,320,60,3.3,-8.1,1015.6,1023.4,,,,,,9,,31,1297,,,.5,,,,
146,2018-01-05 00:00,-1.4,,.5,320,58,3.2,-8.6,1015.3,1023.1,,,,,9,9,Ac,40,1476,,,.4,,,,
146,2018-01-05 01:00,-1.7,,1.1,320,61,3.3,-8.2,1015.1,1022.9,,,,,,10,,31,1392,,,.3,,,,
146,2018-01-05 02:00,-1.6,,.2,0,62,3.4,-7.9,1014.8,1022.6,,,,,,10,,35,1315,,,.2,,,,
146,2018-01-05 03:00,-1.8,,.5,320,63,3.4,-7.9,1014.9,1022.7,,,,,10,10,As,32,1313,,,.1,,,,
146,2018-01-05 04:00,-1.8,,.5,250,65,3.5,-7.5,1014.5,1022.3,,,,,9,9,Ac,40,1201,,,-.1,,,,
146,2018-01-05 05:00,-1.9,,.8,230,69,3.7,-6.8,1014.2,1022,,,,,10,10,As,30,1161,,,-.3,,,,
146,2018-01-05 06:00,-2.1,,.9,270,70,3.7,-6.8,1014.4,1022.2,,,,,10,10,As,30,1102,,,-.5,,,,
146,2018-01-05 07:00,-1.9,,.1,0,66,3.5,-7.4,1014.2,1022,,,,,8,8,Ac,38,1156,,,-.7,,,,
146,2018-01-05 08:00,-2.3,,1.1,20,75,3.9,-6.1,1014.1,1022,0,0,,,9,9,Ac,32,1012,,,-.7,,,,
146,2018-01-05 09:00,-1.4,,1.4,250,66,3.6,-6.9,1014.8,1022.6,.2,.19,,,4,2,AcCi,32,1051,,,-1,,,,
146,2018-01-05 10:00,0,,.9,320,54,3.3,-8.2,1014.7,1022.5,1,.86,,,1,0,Ci,,1399,,,-.1,,,,
146,2018-01-05 11:00,.3,,2.4,340,53,3.3,-8.1,1015,1022.8,1,1.42,,,0,0,,,1586,,,.4,,,,
146,2018-01-05 12:00,.9,,2.6,290,53,3.5,-7.6,1014.3,1022.1,1,1.7,,,1,1,Sc,10,1919,,,3.3,,,,
146,2018-01-05 13:00,2.1,,2.4,290,53,3.8,-6.5,1013.5,1021.2,1,1.92,,,0,0,,,1835,,,8,,,,
146,2018-01-05 14:00,2,,2,270,52,3.7,-6.8,1012.2,1019.9,1,1.83,,,2,2,Sc,10,1971,,,9,,,,
146,2018-01-05 15:00,2.9,,3.8,270,54,4.1,-5.5,1012.5,1020.2,.9,1.59,,,7,7,Sc,11,1992,,,8,,,,
146,2018-01-05 16:00,2.8,,3.6,290,55,4.1,-5.3,1012.6,1020.3,.6,.72,,,5,5,Sc,11,2000,,,4.9,,,,
146,2018-01-05 17:00,1.5,,3.9,290,63,4.3,-4.7,1012.7,1020.4,.5,.28,,,3,3,Sc,10,1890,,,1.6,,,,
146,2018-01-05 18:00,.8,,3.8,290,65,4.2,-5,1013.1,1020.9,0,.03,,,3,3,Sc,10,1636,,,1,,,,
146,2018-01-05 19:00,.6,,1.5,290,63,4,-5.6,1013.5,1021.3,,,,,,2,,11,1704,,,.7,,,,
146,2018-01-05 20:00,.4,,1.2,340,65,4.1,-5.4,1013.2,1021,,,,,,9,,11,1537,,,.4,,,,
146,2018-01-05 21:00,.1,,.7,70,67,4.1,-5.3,1013.2,1021,,,,,0,0,,,1353,,,-.3,,,,
146,2018-01-05 22:00,.1,,.5,90,68,4.2,-5.1,1013.5,1021.3,,,,,,0,,,1349,,,-1.5,,,,
146,2018-01-05 23:00,-1.3,,.9,360,75,4.2,-5.1,1013.9,1021.7,,,,,,6,,10,1175,,,-1.9,,,,
146,2018-01-06 00:00,-.9,,.7,90,75,4.3,-4.7,1013.9,1021.7,,,,,3,3,Sc,10,1041,,,-2.4,,,,
146,2018-01-06 01:00,-.2,,.3,0,75,4.5,-4.1,1014.4,1022.2,,,,,,8,,10,1120,,,-1.9,,,,
146,2018-01-06 02:00,-1.6,,1.2,340,79,4.3,-4.7,1014.9,1022.7,,,,,,5,,10,952,,19,-2.6,,,,
146,2018-01-06 03:00,-2,,.2,0,83,4.4,-4.5,1015.5,1023.4,,,,,0,0,,,754,,19,-3.8,,,,
146,2018-01-06 04:00,-2.2,,1,290,81,4.2,-5,1015.6,1023.5,,,,,0,0,,,925,,19,-4.2,,,,
146,2018-01-06 05:00,-4,,1.3,340,84,3.8,-6.3,1016,1023.9,,,,,0,0,,,785,,19,-4.8,,,,
146,2018-01-06 06:00,-3.5,,1.2,90,87,4.1,-5.3,1015.9,1023.8,,,,,0,0,,,864,,19,-5.1,,,,
146,2018-01-06 07:00,-3.4,,.8,140,85,4.1,-5.5,1016,1023.9,,,,,0,0,,,771,,19,-5.3,,,,
146,2018-01-06 08:00,-3.9,,1.5,140,83,3.8,-6.3,1016.3,1024.2,0,0,,,0,0,,,1077,,19,-5.2,,,,
146,2018-01-06 09:00,-2.1,,1.3,140,75,3.9,-5.9,1016.7,1024.6,.8,.45,,,0,0,,,1178,,,-2.8,,,,
146,2018-01-06 10:00,.8,,1.1,160,61,4,-5.8,1017.5,1025.3,1,1.15,,,0,0,,,1726,,,-.4,,,,
146,2018-01-06 11:00,2,,1.4,360,54,3.8,-6.3,1017.5,1025.2,1,1.57,,,0,0,,,1946,,,.2,,,,
146,2018-01-06 12:00,1.9,,1.5,290,51,3.6,-7.1,1016.9,1024.6,1,1.88,,,0,0,,,2000,,,1.8,,,,
146,2018-01-06 13:00,3.2,,1.7,290,49,3.8,-6.5,1015.8,1023.5,1,2,,,0,0,,,1996,,,6.2,,,,
146,2018-01-06 14:00,3.7,,1,320,44,3.5,-7.4,1015,1022.7,1,1.9,,,0,0,,,2000,,,8.9,,,,
146,2018-01-06 15:00,4.7,,1.4,320,43,3.7,-6.8,1015.3,1022.9,1,1.58,,,0,0,,,2000,,,8.5,,,,
146,2018-01-06 16:00,4.2,,1.2,340,44,3.6,-6.9,1015.2,1022.9,1,1.1,,,0,0,,,1992,,,6.7,,,,
146,2018-01-06 17:00,3.3,,1.2,290,48,3.7,-6.6,1014.6,1022.3,1,.48,,,0,0,,,1951,,,3.5,,,,
146,2018-01-06 18:00,1.9,,1.9,230,65,4.6,-3.9,1015.7,1023.4,.2,.03,,,0,0,,,1743,,,1.3,,,,
146,2018-01-06 19:00,1.3,,2,230,69,4.6,-3.7,1016.5,1024.3,,,,,,0,,,1750,,,.9,,,,
146,2018-01-06 20:00,.8,,1.3,230,71,4.6,-3.8,1017.4,1025.2,,,,,,0,,,1629,,,.4,,,,
146,2018-01-06 21:00,.5,,.5,110,70,4.4,-4.3,1016.8,1024.6,,,,,0,0,,,1733,,,-.5,,,,
146,2018-01-06 22:00,-.7,,1,140,76,4.4,-4.4,1017.1,1024.9,,,,,,0,,,1214,,,-1.4,,,,
146,2018-01-06 23:00,-1.4,,1.5,110,77,4.2,-4.9,1016.9,1024.7,,,,,,0,,,1202,,,-2,,,,
146,2018-01-07 00:00,-2.1,,1.2,110,79,4.2,-5.2,1017.3,1025.2,,,,,0,0,,,1117,,,-2.7,,,,
146,2018-01-07 01:00,-2.8,,1.2,110,81,4,-5.6,1017,1024.9,,,,,,0,,,1097,,,-3.1,,,,
146,2018-01-07 02:00,-3,,.9,110,82,4,-5.6,1017.2,1025.1,,,,,,0,,72,1082,,,-3.5,,,,
146,2018-01-07 03:00,-3.6,,1.4,90,85,4,-5.7,1016.6,1024.5,,,,,0,0,,,1100,,,-3.8,,,,
146,2018-01-07 04:00,-3.7,,.4,0,86,4,-5.7,1015.5,1023.4,,,,,0,0,,,1100,,,-4.5,,,,
146,2018-01-07 05:00,-4,,1,110,87,4,-5.8,1015.3,1023.2,,,,,0,0,,,950,,19,-4.6,,,,
146,2018-01-07 06:00,-4,,1.6,110,87,4,-5.8,1015.6,1023.5,,,,,3,3,Ac,47,950,,19,-3.6,,,,
146,2018-01-07 07:00,-4.2,,.9,140,87,3.9,-6,1015,1022.9,,,,,6,6,Ac,47,886,,19,-4.3,,,,
146,2018-01-07 08:00,-3.4,,.5,110,81,3.9,-6.1,1015.1,1023,0,0,,,6,6,Ac,45,1033,,19,-4,,,,
146,2018-01-07 09:00,-2.2,,.6,70,79,4.1,-5.3,1016,1023.9,.1,.21,,,10,10,,,1062,,,-1.8,,,,
146,2018-01-07 10:00,-2.5,,.6,340,83,4.2,-4.9,1017,1024.9,0,.38,,,10,10,,,670,,19,-.4,,,,
146,2018-01-07 11:00,-.8,,.3,0,78,4.5,-4.1,1016,1023.8,0,.35,,,8,8,Ac,33,893,,19,-.2,,,,
146,2018-01-07 12:00,1,,1.2,340,68,4.5,-4.2,1014.3,1022.1,.2,.82,,,9,9,Ac,33,1010,,19,.1,,,,
146,2018-01-07 13:00,.8,,1.7,320,72,4.7,-3.6,1013.7,1021.5,0,.58,,,10,10,As,31,856,,40,.5,,,,
146,2018-01-07 14:00,2.3,,.6,360,68,4.9,-3,1012.6,1020.3,0,.78,,,8,8,Ac,26,816,,40,.9,,,,
146,2018-01-07 15:00,3,,1.4,340,61,4.6,-3.8,1011.5,1019.2,0,.66,,,10,10,As,26,1002,,40,1.6,,,,
146,2018-01-07 16:00,3,,1.3,320,60,4.5,-4,1012,1019.7,0,.37,,,10,10,As,25,1112,,,2.3,,,,
146,2018-01-07 17:00,3.3,,.7,320,58,4.5,-4.1,1011.8,1019.5,0,.15,,,10,10,As,25,1140,,,2,,,,
146,2018-01-07 18:00,2.1,,1.5,320,66,4.7,-3.6,1011.9,1019.6,0,.02,,,10,10,As,23,871,,40,1.2,,,,
146,2018-01-07 19:00,2.3,,.3,0,64,4.6,-3.8,1011.5,1019.2,,,,,,,,22,893,,40,1,,,,
146,2018-01-07 20:00,2.1,,.8,340,67,4.8,-3.4,1011.3,1019,,,,,,5,,16,805,,40,1,,,,
146,2018-01-07 21:00,2.7,0,.6,140,66,4.9,-3,1011.3,1019,,,,,10,3,ScAs,18,824,,4001,1.2,,,,
146,2018-01-07 22:00,3,,.4,0,67,5.1,-2.5,1011,1018.7,,,,,10,5,StNs,11,775,,4001,1.4,,,,
146,2018-01-07 23:00,2.3,,.6,90,79,5.7,-.9,1010.3,1018,,,,,10,5,ScAs,9,550,,401901,1.6,,,,
146,2018-01-08 00:00,2,0,.1,0,78,5.5,-1.4,1009.6,1017.3,,,,,10,6,ScAs,10,601,,19,1.7,,,,
146,2018-01-08 01:00,2,,.2,0,80,5.7,-1,1008.7,1016.4,,,,,,10,,10,599,,19,1.8,,,,
146,2018-01-08 02:00,2.5,,.3,0,76,5.6,-1.3,1007.5,1015.2,,,,,,10,,10,675,,19,1.9,,,,
146,2018-01-08 03:00,2.9,,.3,0,76,5.7,-.9,1007,1014.6,,,,,10,8,ScAs,9,706,,19,2.1,,,,
146,2018-01-08 04:00,2,,1,360,80,5.7,-1,1005.7,1013.4,,,,,10,8,ScAs,11,595,,19,2,,,,
146,2018-01-08 05:00,1.8,,.9,340,76,5.3,-1.9,1005.2,1012.9,,,,,10,4,ScAs,9,686,,19,1.9,,,,
146,2018-01-08 06:00,1.8,0,1,270,77,5.4,-1.8,1005,1012.7,,,,,10,7,StNs,8,649,,1901,1.8,,,,
146,2018-01-08 07:00,1,,2,230,86,5.7,-1,1005.8,1013.5,,,,,10,7,StNs,8,443,,19120601,1.1,,,,
146,2018-01-08 08:00,.4,,1.1,200,94,5.9,-.4,1005.9,1013.6,0,0,,,10,7,StNs,3,270,,191206,.8,,,,
146,2018-01-08 09:00,.4,1.9,.5,250,96,6.1,-.1,1006.3,1014,0,.02,.5,.5,10,5,StNs,2,160,,190605,.8,,,,
146,2018-01-08 10:00,.5,,.3,0,97,6.1,0,1006.5,1014.2,0,.08,2,,10,7,StNs,8,103,,1905,.9,,,,
146,2018-01-08 11:00,.6,,.5,320,96,6.1,0,1005.8,1013.5,0,.15,2.2,,10,6,StNs,6,151,,1905,.9,,,,
146,2018-01-08 12:00,1.4,1.1,.2,0,92,6.2,.2,1004.3,1012,0,.36,1.7,1.7,10,8,ScAs,10,211,,1905,1.1,,,,
146,2018-01-08 13:00,1.2,,1.3,270,95,6.3,.4,1003.7,1011.4,0,.49,1,,10,7,StNs,7,177,,1905,1.6,,,,
146,2018-01-08 14:00,1.3,,1.7,270,97,6.5,.8,1003.2,1010.9,0,.19,.5,,10,8,ScAs,2,199,,1905,1.8,,,,
146,2018-01-08 15:00,1.9,0,.3,0,96,6.7,1.3,1002.7,1010.3,0,.16,.2,,10,8,ScAs,2,266,,19,2.5,,,,
146,2018-01-08 16:00,2.4,,1.3,230,94,6.8,1.5,1003,1010.6,0,.25,,,10,9,ScAs,2,330,,19,3.2,,,,
146,2018-01-08 17:00,2.3,,1.3,230,92,6.6,1.1,1002.9,1010.5,0,.19,,,10,4,ScAs,3,388,,19,2.8,,,,
146,2018-01-08 18:00,2.3,,1,200,90,6.5,.8,1002.4,1010,0,0,,,10,5,ScAs,8,482,,19,2.2,,,,
146,2018-01-08 19:00,1.8,,2.8,230,92,6.4,.6,1003.4,1011,,,,,10,9,StNs,6,467,,1906,1.9,,,,
146,2018-01-08 20:00,1.2,,3.1,230,98,6.5,.9,1003.6,1011.3,,,,,10,8,StNs,6,285,,191206,.9,,,,
146,2018-01-08 21:00,1.8,1,2.9,230,98,6.8,1.5,1004,1011.7,,,,,10,3,ScAs,14,526,,1912,.8,,,,
146,2018-01-08 22:00,2.3,,4.4,270,81,5.8,-.6,1004,1011.6,,,,,10,5,ScAs,8,537,,1901,.9,,,,
146,2018-01-08 23:00,.9,,4.4,270,94,6.1,0,1004.2,1011.9,,,,,10,6,StNs,8,204,,1905,.8,,,,
146,2018-01-09 00:00,.8,0,4.1,270,91,5.9,-.5,1004.2,1011.9,,,,,6,6,Sc,9,593,,1905,.7,,,,
146,2018-01-09 01:00,-.4,,3.7,290,99,5.9,-.5,1004.7,1012.4,,,1.7,,10,6,StNs,8,133,,1905,.8,,,,
